Week	Topic	Activity / Focus	Reference
1	Orientation	Course overview, evaluation criteria, and gene assignments.	
2	The Central Dogma	DNA Replication (Helicase, Ligase), Transcription (Sigma factors), Translation, and Splicing mechanisms.	
3	Genomes & Regulation	Bacterial genome structure (Pan-genome), Operons (lac/trp), and RNA thermometers.	
4	Genetics & Evolution	Horizontal Gene Transfer (Transformation, Conjugation, Transduction, Vesiduction) and Mutations.	
5	PCR Technologies	Standard PCR principles, Gradient PCR optimization, and Real-time PCR quantification methods.	
6	DNA Sequencing	Sanger sequencing (Chain termination) vs. NGS (Illumina flowcell chemistry & Nanopore).	
7	Mid-course Recap	Review of Weeks 1–6 (Central Dogma, Regulation, PCR, Sequencing) and Q&A session.	
8	Mid-term Exam	Comprehensive theoretical assessment covering Weeks 1–6.	
9	Gene Cloning	Restriction enzymes, Ligation, Transformation techniques (Heat shock/Electroporation), and Blue-White screening.	
10	Genetic Engineering	Site-directed mutagenesis, Homologous recombination, and CRISPR/Cas9 systems.	
11	Bioinformatics	BLAST algorithms (blastn/p/x), Database search, and Frame shift analysis.	
12	Transcriptomics	RNA-seq workflow: Library preparation, Ribo-zero, Read mapping, and DEG analysis.	
13	Metagenomics	Gut microbiome analysis, 16S rRNA vs Shotgun sequencing, and Host-Microbe interaction case studies.	
14	Makeup Class I	Buffer for missed content or Recapping of Genetic Engineering & Omics (Weeks 9–13).	
15	Makeup Class II	Final review session and laboratory troubleshooting / Research Design Workshop.	
16	Final Exam	Final cumulative assessment covering all topics.	
