순번	소분류	발행기관	학술지명	발행국가	ISSN	IF값	IF상위값
10060	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS DRUG DISCOVERY	영국	14741776	101.8	0.1
10066	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS MATERIALS	영국	20588437	87.2	0.1
10061	국제전문학술지(SCIE)	SPRINGERNATURE	NATURE REVIEWS EARTH & ENVIRONMENT	영국	2662138X	71.5	0.1
9850	국제전문학술지(SCIE)	CENTERS  DISEASE CONTROL & PREVENTION	MMWR RECOMMENDATIONS AND REPORTS	미국	10575987	60.1	0.1
10035	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE ELECTRONICS	영국	25201131	40.9	0.1
12582	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR	미국	23270608	31.1	0.1
13841	국제전문학술지(SSCI)	SPRINGER	INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION	영국	23659440	16.7	0.1
13295	국제전문학술지(SSCI)	ELSEVIER	ENERGY ECONOMICS	네덜란드	01409883	14.2	0.1
3125	국제전문학술지(SCIE)	CAMBRIDGE UNIV PRESS	ACTA NUMERICA	미국	09624929	11.3	0.1
11596	국제전문학술지(SCIE)	SIAM PUBLICATIONS	SIAM REVIEW	미국	00361445	6.1	0.1
13409	국제전문학술지(SSCI)	COLEGIO OFICIAL PSICOLOGOS MADRID	EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT	스페인	18891861	5.5	0.1
16783	국제전문학술지(A&HCI)	CAMBRIDGE UNIV PRESS	JOURNAL OF ECONOMIC HISTORY	미국	00220507	2.9	0.1
4533	국제전문학술지(SCIE)	WILEY	CA-A CANCER JOURNAL FOR CLINICIANS	미국	00079235	232.4	0.2
10069	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS MOLECULAR CELL BIOLOGY	영국	14710072	90.2	0.2
9375	국제전문학술지(SCIE)	ELSEVIER SCIENCE INC	LANCET	미국	01406736	88.5	0.2
12350	국제전문학술지(SCIE)	WILEY	WORLD PSYCHIATRY	미국	17238617	65.8	0.2
15920	국제전문학술지(SSCI)	WILEY	WORLD PSYCHIATRY	미국	17238617	65.8	0.2
4776	국제전문학술지(SCIE)	AMER CHEMICAL SOC	CHEMICAL REVIEWS	미국	00092665	55.8	0.2
11604	국제전문학술지(SCIE)	SPRINGERNATURE	SIGNAL TRANSDUCTION AND TARGETED THERAPY	영국	20959907	52.7	0.2
6808	국제전문학술지(SCIE)	IEEE	IEEE COMMUNICATIONS SURVEYS AND TUTORIALS	미국	1553877X	46.7	0.2
9386	국제전문학술지(SCIE)	ELSEVIER SCIENCE INC	LANCET NEUROLOGY	미국	14744422	45.5	0.2
10056	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS CARDIOLOGY	미국	17595002	44.2	0.2
12584	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF PSYCHOLOGY	미국	00664308	29.4	0.2
10072	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS NEUROSCIENCE	영국	1471003X	26.7	0.2
3699	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF PLANT BIOLOGY	미국	15435008	26.5	0.2
12094	국제전문학술지(SCIE)	CELL PRESS	TRENDS IN ECOLOGY & EVOLUTION	영국	01695347	17.3	0.2
12415	국제전문학술지(SSCI)	ACAD MANAGEMENT	ACADEMY OF MANAGEMENT ANNALS	미국	19416520	16.5	0.2
7659	국제전문학술지(SCIE)	ELSEVIER SCIENCE INC	JACC-CARDIOVASCULAR IMAGING	미국	1936878X	15.2	0.2
11163	국제전문학술지(SCIE)	RADIOLOGICAL SOC NORTH AMERICA (RSNA)	RADIOLOGY	미국	00338419	15.2	0.2
7677	국제전문학술지(SCIE)	AMER MEDICAL ASSOC	JAMA SURGERY	미국	21686254	14.9	0.2
13947	국제전문학술지(SSCI)	TAYLOR & FRANCIS INC	INTERNATIONAL JOURNAL OF TRANSGENDER HEALTH	미국	26895269	14.8	0.2
15353	국제전문학술지(SSCI)	OXFORD UNIV PRESS INC	QUARTERLY JOURNAL OF ECONOMICS	미국	00335533	12.7	0.2
14333	국제전문학술지(SSCI)	ELSEVIER SCIENCE SA	JOURNAL OF FINANCIAL ECONOMICS	스위스	0304405X	12	0.2
12583	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF POLITICAL SCIENCE	미국	10942939	9.5	0.2
12587	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF SOCIOLOGY	미국	03600572	9	0.2
14053	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF ADVERTISING	영국	00913367	7	0.2
15817	국제전문학술지(SSCI)	MIT PRESS	TRANSACTIONS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS	미국	2307387X	6.9	0.2
10068	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS MICROBIOLOGY	영국	17401526	103.3	0.3
10065	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS IMMUNOLOGY	영국	14741733	60.9	0.3
10036	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE ENERGY	영국	20587546	60.1	0.3
10064	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS GENETICS	영국	14710056	52	0.3
10063	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS GASTROENTEROLOGY & HEPATOLOGY	미국	17595045	51.6	0.3
10044	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE MEDICINE	미국	10788956	50	0.3
10026	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE CATALYSIS	영국	25201158	44.6	0.3
